: Profit: 28606.492198779968, Ticker: None, Trades: (42, 24, 18), Drawdown: -401.4994470530013, Stops: 30, Costs: 172.54780122000008 40, 60, 0.2, 2.5, 8, 15, 12, -1, True
: Profit: 28606.492198779968, Ticker: None, Trades: (42, 24, 18), Drawdown: -401.4994470530013, Stops: 30, Costs: 172.54780122000008 40, 60, 0.2, 2.5, 8, 15, 12, -1, True
: Profit: 28606.492198779968, Ticker: None, Trades: (42, 24, 18), Drawdown: -401.4994470530013, Stops: 30, Costs: 172.54780122000008 40, 60, 0.2, 2.5, 8, 15, 12, -1, True
: Profit: 28606.492198779968, Ticker: None, Trades: (42, 24, 18), Drawdown: -401.4994470530013, Stops: 30, Costs: 172.54780122000008 40, 60, 0.2, 2.5, 8, 25, 12, -1, True
: Profit: 28606.492198779968, Ticker: None, Trades: (42, 24, 18), Drawdown: -401.4994470530013, Stops: 30, Costs: 172.54780122000008 40, 60, 0.2, 2.5, 8, 25, 12, -1, True
: Profit: 28606.492198779968, Ticker: None, Trades: (42, 24, 18), Drawdown: -401.4994470530013, Stops: 30, Costs: 172.54780122000008 40, 60, 0.2, 2.5, 8, 25, 12, -1, True
: Profit: 28220.057117478966, Ticker: None, Trades: (43, 24, 19), Drawdown: -401.4994470530013, Stops: 31, Costs: 176.91288252100006 40, 60, 0.2, 2.5, 8, 10, 12, -1, True
: Profit: 28220.057117478966, Ticker: None, Trades: (43, 24, 19), Drawdown: -401.4994470530013, Stops: 31, Costs: 176.91288252100006 40, 60, 0.2, 2.5, 8, 10, 12, -1, True
: Profit: 28220.057117478966, Ticker: None, Trades: (43, 24, 19), Drawdown: -401.4994470530013, Stops: 31, Costs: 176.91288252100006 40, 60, 0.2, 2.5, 8, 10, 12, -1, True
: Profit: 27813.441750595986, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 25, 12, -1, True
: Profit: 27813.441750595986, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 25, 12, -1, True
: Profit: 27813.441750595986, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 25, 12, -1, True
: Profit: 27777.481750595987, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 10, 12, -1, True
: Profit: 27777.481750595987, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 10, 12, -1, True
: Profit: 27777.481750595987, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 10, 12, -1, True
: Profit: 27777.481750595987, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 15, 12, -1, True
: Profit: 27777.481750595987, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 15, 12, -1, True
: Profit: 27777.481750595987, Ticker: None, Trades: (41, 26, 15), Drawdown: -401.3535834420013, Stops: 27, Costs: 165.02824940400006 80, 40, 0.3, 2.5, 8, 15, 12, -1, True
: Profit: 25360.499963866016, Ticker: None, Trades: (59, 28, 31), Drawdown: -1142.461350522999, Stops: 52, Costs: 239.68003613399995 12, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 25360.499963866016, Ticker: None, Trades: (59, 28, 31), Drawdown: -1142.461350522999, Stops: 52, Costs: 239.68003613399995 12, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 25360.499963866016, Ticker: None, Trades: (59, 28, 31), Drawdown: -1142.461350522999, Stops: 52, Costs: 239.68003613399995 12, 5, 0.2, 1.5, 4, 10, 12, -1, True
: Profit: 25360.499963866016, Ticker: None, Trades: (59, 28, 31), Drawdown: -1142.461350522999, Stops: 52, Costs: 239.68003613399995 12, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 25360.499963866016, Ticker: None, Trades: (59, 28, 31), Drawdown: -1142.461350522999, Stops: 52, Costs: 239.68003613399995 12, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 25360.499963866016, Ticker: None, Trades: (59, 28, 31), Drawdown: -1142.461350522999, Stops: 52, Costs: 239.68003613399995 12, 5, 0.3, 1.5, 4, 10, 12, -1, True
: Profit: 24309.249459830993, Ticker: None, Trades: (37, 23, 14), Drawdown: -2260.002648157003, Stops: 26, Costs: 142.67054016900002 40, 60, 0.2, 3.0, 12, 10, 12, -1, True
: Profit: 24309.249459830993, Ticker: None, Trades: (37, 23, 14), Drawdown: -2260.002648157003, Stops: 26, Costs: 142.67054016900002 40, 60, 0.2, 3.0, 12, 10, 12, -1, True
: Profit: 24309.249459830993, Ticker: None, Trades: (37, 23, 14), Drawdown: -2260.002648157003, Stops: 26, Costs: 142.67054016900002 40, 60, 0.2, 3.0, 12, 10, 12, -1, True
: Profit: 24291.313184287, Ticker: None, Trades: (37, 23, 14), Drawdown: -2327.575410612001, Stops: 26, Costs: 142.62681571300004 60, 60, 0.2, 3.0, 12, 10, 12, -1, True
