: Profit: 34618.879328396, Ticker: None, Trades: (73, 36, 37), Drawdown: -4.746441622, Stops: 36, Costs: 393.2806716039999 60, 80, 0.3, 3.0, 8, 15, 12, -0.1, False
: Profit: 34303.934743668025, Ticker: None, Trades: (65, 30, 35), Drawdown: -4.746441622, Stops: 33, Costs: 355.535256332 40, 100, 0.3, 3.0, 8, 15, 12, 0.1, False
: Profit: 34274.15474366802, Ticker: None, Trades: (65, 30, 35), Drawdown: -4.746441622, Stops: 33, Costs: 355.55525633200006 40, 100, 0.3, 3.0, 8, 10, 12, 0.1, False
: Profit: 34050.955084548, Ticker: None, Trades: (74, 36, 38), Drawdown: -4.746441622, Stops: 37, Costs: 398.98491545199994 60, 80, 0.3, 3.0, 8, 10, 12, -0.1, False
: Profit: 32697.207724015003, Ticker: None, Trades: (68, 35, 33), Drawdown: -1410.7782970730009, Stops: 34, Costs: 369.26227598499986 60, 100, 0.3, 3.0, 8, 10, 12, 0.1, False
: Profit: 32676.48332332201, Ticker: None, Trades: (68, 35, 33), Drawdown: -1410.7782970730009, Stops: 34, Costs: 369.2066766779998 60, 100, 0.3, 3.0, 8, 15, 12, 0.1, False
: Profit: 32660.55510953801, Ticker: None, Trades: (56, 24, 32), Drawdown: -4.746441622, Stops: 30, Costs: 304.8048904619999 40, 100, 0.3, 3.0, 8, 15, 12, 0.3, False
: Profit: 32208.250064505995, Ticker: None, Trades: (72, 35, 37), Drawdown: -4.746441622, Stops: 36, Costs: 392.06993549399994 60, 80, 0.2, 3.0, 8, 15, 12, -0.1, False
: Profit: 32182.85273579099, Ticker: None, Trades: (72, 35, 37), Drawdown: -4.746441622, Stops: 36, Costs: 392.04726420899993 60, 80, 0.2, 3.0, 8, 10, 12, -0.1, False
: Profit: 32118.008194404996, Ticker: None, Trades: (57, 24, 33), Drawdown: -4.746441622, Stops: 31, Costs: 310.55180559499996 40, 100, 0.3, 3.0, 8, 10, 12, 0.3, False
: Profit: 31814.651539668015, Ticker: None, Trades: (65, 30, 35), Drawdown: -4.746441622, Stops: 33, Costs: 355.59846033200006 40, 100, 0.3, 3.0, 8, 25, 12, 0.1, False
: Profit: 31180.568447360984, Ticker: None, Trades: (71, 36, 35), Drawdown: -4.746441622, Stops: 36, Costs: 388.32155263899983 40, 80, 0.3, 3.0, 8, 15, 12, -0.1, False
: Profit: 30818.99564847901, Ticker: None, Trades: (69, 35, 34), Drawdown: -4.746441622, Stops: 37, Costs: 377.5743515209999 40, 100, 0.2, 3.0, 8, 15, 12, 0.1, False
: Profit: 30789.215648479007, Ticker: None, Trades: (69, 35, 34), Drawdown: -4.746441622, Stops: 37, Costs: 377.59435152099996 40, 100, 0.2, 3.0, 8, 10, 12, 0.1, False
: Profit: 30754.54476860901, Ticker: None, Trades: (66, 34, 32), Drawdown: -461.1170539599996, Stops: 32, Costs: 358.45523139099987 60, 100, 0.3, 3.0, 8, 25, 12, 0.1, False
: Profit: 30638.02153222799, Ticker: None, Trades: (72, 36, 36), Drawdown: -4.746441622, Stops: 37, Costs: 394.06846777199985 40, 80, 0.3, 3.0, 8, 10, 12, -0.1, False
